name,web,address
A2A Pharmaceuticals,http://a2apharma.com,"101 6th Ave, New York, NY 10013"
Acellera,http://acellera.com,"Devonshire House  582 Honeypot Lane Stanmore, Middlesex, England "
Acurastem,http://acurastem.com,"605 E. Huntington Dr., Suite 103 Monrovia, CA 91016-6352"
Aetion,http://aetion.com,"1441 Broadway20th Floor New York, NY 10018"
AI Therapeutics,https://www.ai-therapeutics.com,"530 Old Whitfield Street Guilford, CT 06437"
AiCure,http://aicure.com,"19 West, 24th street, 11th Floor New York, NY 10010 USA"
Antidote,http://antidote.me,"450 Park Ave South, FL 3 New York, NY 10016"
Antiverse,http://antiverse.io,Caerphilly United Kingdom
Arbor Biotechnologies,http://arbor.bio,"790 Memorial Dr Ste 1B, Cambridge, MA 02139"
Arctoris,http://arctoris.com,9400 Garsington Rd Oxford Business Park Oxford OX4 2HN United Kingdom
Athelas,http://athelas.com,"67 E Evelyn Ave. Mountain View, CA 94041"
ATOM,http://atomscience.org,"499 Illinois Street 3rd floor San Francisco, CA 94158"
Atomwise,http://atomwise.com,"717 Market Street, Suite 800 San Francisco, CA 94103"
Auransa,http://auransa.com,"550 Hamilton Avenue, Suite 230 Palo Alto, CA 94301"
Bactevo_Nanna Therapeutics Ltd ,http://bactevo.com,The Merrifield Centre Rosemary Lane Cambridge CB1 3LQ
BenchSci,http://benchsci.com,"559 College St. Suite 201 Toronto ON, M6G 1A9"
BenevolentAI,http://benevolent.ai,"81 Prospect St,  Brooklyn, 11201"
Berg,http://berghealth.com,"500 Old Connecticut Path Framingham, MA 01701"
Berkeley Lights,http://berkeleylights.com,"5858 Horton Street Suite 320 Emeryville, CA 94608"
BioAge Labs ,http://bioagelabs.com,"1445A S 50th St, Richmond, CA 94804"
Biorelate,http://biorelate.com,"Williams House Lloyd St N, Manchester M15 6SX, United Kingdom"
BioSymetrics,http://biosymetrics.com,"boston, MA"
Biotx.ai,http://biotx.ai," J_gerallee 16, 14469 Potsdam, Germany"
Biovista,http://biovista.com,"2421 Ivy Road, Charlottesville, VA 22903, USA"
BioXcel,http://bioxcel.com,"780 E Main St, Branford, CT 06405"
BlackThorn Therapeutics,http://blackthornrx.com,"780 Brannan Street San Francisco, CA 94103"
Brite Health,http://britehealth.co,"489 Middlefield Road, Palo Alto, CA 94301"
BullFrog AI,http://bullfrogai.com,"P.O. Box 336 Boyds, MD 20841"
Cambridge Cancer Genomics ,http://ccg.ai,"72 Hills Road, Cambridge, CB2 1LA"
Causaly,http://causaly.com,"1-15 Clere Street, London, EC2A 4UY United Kingdom"
Celsius Therapeutics,http://celsiustx.com,"399 Binney Street Cambridge, MA 02139"
Chempass,http://chempassltd.com,"7 Zahony street Budapest, Hungary, ZIP: 1031"
Clinithink,http://clinithink.com,"555 Northpoint Center East Alpharetta, GA 30022"
Cloud Pharmaceuticals,http://cloudpharmaceuticals.com,"800 Park Offices Dr., RTP, NC 27709"
Concerto HealthAI,http://concertohealthai.com,"501 Boylston Street Boston, MA 02116"
Cotinga Pharmaceuticals,http://coti.theyatesnetwork.com,"127 Main Street Boston, MA 02129"
